id,created_at,product_name,product_price,product_sku,product_link,itemid,ebay_price,eBay_qty,site,sku,title,matched column,market_price,calculation_price,final_price,Final_price,date,product_quantity
9300,2025-10-15 04:01:31.792749+00,FIDO'S BLACK GLOSS SHAMPOO 1L,$25.88 (Ex GST),XFBGS1,https://pronto.eastdist.com/products/XFBGS1,406101440497,62.8,5,,XFBGS1,,XFBGS1,32.29,65.06,65.06,65.06,2025-10-23,IN STOCK
9301,2025-10-15 04:01:31.792749+00,FIDO'S BLACK GLOSS SHAMPOO 250ML,$8.27 (Ex GST),XFBGS250,https://pronto.eastdist.com/products/XFBGS250,406101440497,32.25,5,,XFBGS250,,XFBGS250,14.69,33.75,33.75,33.75,2025-10-23,IN STOCK
9302,2025-10-15 04:01:31.792749+00,FIDO'S CLOSASOLE 10KG TABLETS X 10  (S6),$10.28 (Ex GST),XFC10T10,https://pronto.eastdist.com/products/XFC10T10,406101441395,35.75,5,,XFC10T10,,XFC10T10,12.88,37.33,37.33,37.33,2025-10-23,IN STOCK
9303,2025-10-15 04:01:31.792749+00,FIDO'S CLOSASOLE 10KG TABLETS X 100  (S6),$57.73 (Ex GST),XFC10T100,https://pronto.eastdist.com/products/XFC10T100,406101441395,118.1,5,,XFC10T100,,XFC10T100,89.99,121.69,121.69,121.69,2025-10-23,IN STOCK
9304,2025-10-15 04:01:31.792749+00,FIDO'S CREME CONDITIONER 5LT,$79.04 (Ex GST),XFCC5,https://pronto.eastdist.com/products/XFCC5,406101441780,155.15,5,,XFCC5,,XFCC5,113.99,159.58,159.58,159.58,2025-10-23,IN STOCK
9305,2025-10-15 04:01:31.792749+00,FREECAT FREEZE DRIED CHICKEN CUBES CAT TREATS 50G,$7.15 (Ex GST),XFCCC50,https://pronto.eastdist.com/products/XFCCC50,406101442811,30.85,5,,XFCCC50,,XFCCC50,13.99,31.76,31.76,31.76,2025-10-23,IN STOCK
9306,2025-10-15 04:01:31.792749+00,FREECAT PREMIUM CLUMPING CAT LITTER-ODOR CONTROL 6.4KG,$16.92 (Ex GST),XFCCCL6.4,https://pronto.eastdist.com/products/XFCCCL6.4,406101443703,48.6,5,,XFCCCL6.4,,XFCCCL6.4,29.83,49.13,49.13,49.13,2025-10-23,IN STOCK
9307,2025-10-15 04:01:31.792749+00,FREECAT FREEZE DRIED GREEN LIPPED MUSSEL CAT TREATS 40G,$9.5 (Ex GST),XFCGLM40,https://pronto.eastdist.com/products/XFCGLM40,406101444157,35.1,5,,XFCGLM40,,XFCGLM40,13.18,35.94,35.94,35.94,2025-10-23,IN STOCK
9308,2025-10-15 04:01:31.792749+00,FREECAT ALL NATURAL PURE CATNIP 15G,$5.5 (Ex GST),XFCNC15,https://pronto.eastdist.com/products/XFCNC15,406101445026,27.85,5,,XFCNC15,,XFCNC15,8.59,28.83,28.83,28.83,2025-10-23,IN STOCK
9309,2025-10-15 04:01:31.792749+00,FREECAT ALL NATURE CATNIP WAND 6PCS,$4.99 (Ex GST),XFCNCW6,https://pronto.eastdist.com/products/XFCNCW6,406101474673,26.95,5,,XFCNCW6,,XFCNCW6,8.01,27.92,27.92,27.92,2025-10-23,IN STOCK
